SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;3960;24100;10732;44100;8212;16200
10000;6996;24100;22690;124900;15922;26700
15000;10440;24100;33006;124900;20786;61700
20000;14122;24100;30088;137700;25254;114100
25000;17848;26100;49654;140000;30900;114100
30000;20644;26100;58492;159700;46788;117900
35000;25122;32700;78056;198000;57936;144700
40000;28214;34300;80686;234600;69688;189700
45000;32554;57700;123628;273700;71384;214300
50000;38184;144500;103758;509000;67380;214300
55000;40444;144500;96728;509000;81714;279000
60000;42862;144500;126314;509000;105068;305100
65000;48326;144500;153210;509000;127088;305100
70000;49868;144500;154572;509000;128122;305100
75000;53332;144500;159406;509000;136852;328600
80000;57366;144500;172018;509000;129142;328600
85000;61270;144500;168428;509000;127728;395900
90000;64014;144500;170828;513500;136144;395900
95000;69602;144500;213848;513500;157404;395900
100000;70420;144500;197446;513500;157828;395900
